subject_id,block,sentence_n,trialtime,x,y
0,6,2,2586.0805,1,9
0,6,2,3006.8131,3,5
0,6,2,3395.6684,2,7
0,6,2,3784.5237,0,8
0,6,2,4175.5514,0,3
0,6,2,4957.6161,2,10
0,6,2,5493.3267,0,4
0,6,2,5920.3528,3,5
0,6,2,6270.5567,2,6
0,6,2,6745.675,0,3
0,6,2,7527.6721,2,10
0,6,2,8120.2107,0,2
0,6,2,8804.7322,3,5
0,6,2,9279.8505,1,1
0,6,2,9742.676,2,5
0,6,2,10423.0714,1,1
0,6,2,10951.2476,0,7
0,6,2,11340.1029,1,9
0,6,2,12143.2007,1,1
0,6,2,12857.1592,2,6
0,6,2,13718.5103,1,9
0,6,2,14276.9005,0,2
0,6,2,15180.9858,3,9
0,7,2,505.8552,0,4
0,7,2,894.7105,1,6
0,7,2,1357.536,0,2
0,7,2,1824.6092,3,5
0,7,2,2299.7275,1,1
0,7,2,2726.7536,2,4
0,7,2,2968.7555,2,4
0,7,2,3789.7781,0,8
0,7,2,4282.8971,0,3
0,7,2,4610.7786,1,3
0,7,2,5024.5416,3,5
0,7,2,5517.6607,0,1
0,7,2,5845.5422,1,1
0,7,2,6173.4237,1,2
0,7,2,6834.8767,3,5
0,7,2,7466.2381,1,3
0,7,2,7893.2642,0,6
0,7,2,8351.672,0,2
0,7,2,9164.6209,3,5
0,7,2,9809.233,0,4
0,7,2,10267.6409,0,8
0,7,2,10734.7141,3,5
0,7,2,11123.5694,1,6
0,7,2,11834.1985,1,1
0,7,2,12297.0241,2,5
0,7,2,12740.9602,0,2
0,7,2,13425.4096,3,5
0,7,2,13775.6135,2,4
0,7,2,14596.6688,0,8
0,7,2,14974.9972,2,8
0,7,2,16071.0209,0,2
0,7,2,16769.3578,3,5
0,7,2,17213.294,0,7
0,7,2,17591.6224,2,7
0,7,2,18035.5586,0,4
0,7,2,18493.9664,0,8
0,7,2,18961.0396,3,6
0,7,2,20105.1221,0,2
0,7,2,20928.5101,1,4
0,7,2,21170.512,1,3
0,7,2,21498.3935,1,4
0,7,2,21740.3946,1,5
0,7,2,22068.2761,1,4
0,7,2,22745.0217,3,10
0,7,2,23052.231,2,10
0,7,2,23294.2324,2,10
0,7,2,23536.2338,2,10
0,8,2,327.8815,2,7
0,8,2,833.7367,0,2
0,8,2,1326.8557,0,7
0,8,2,1715.711,1,9
0,8,2,2190.8293,3,5
0,8,2,2925.6284,1,6
0,8,2,3636.2824,1,1
0,8,2,4412.2649,0,2
0,8,2,5133.1879,2,10
0,8,2,5720.4939,1,2
0,8,2,6164.4301,3,5
0,8,2,6514.634,2,6
0,8,2,7207.3221,0,2
0,8,2,7666.7604,0,2
0,8,2,8172.6156,2,7
0,8,2,8561.4709,3,5
0,8,2,9036.5891,1,1
0,8,2,9364.4706,1,2
0,8,2,9890.0451,1,8
0,8,2,10471.6554,0,7
0,8,2,10849.9838,2,7
0,8,2,11238.8391,1,5
0,8,2,11617.1675,3,5
0,8,2,12085.3044,1,1
0,8,2,12474.1597,0,3
0,8,2,12967.2787,0,8
0,8,2,13345.6071,0,6
0,8,2,13734.4624,2,7
0,8,2,14414.8406,1,3
0,8,2,14950.5513,3,9
0,9,2,378.3284,0,4
0,9,2,1313.8222,1,6
0,9,2,1776.6477,0,2
0,9,2,2243.7209,3,5
0,9,2,2632.5762,2,7
0,9,2,3572.7687,0,2
0,9,2,4246.5037,0,1
0,9,2,4739.6228,3,5
0,9,2,5183.5589,0,3
0,9,2,5789.7904,1,1
0,9,2,6168.1188,1,3
0,9,2,7065.158,0,7
0,9,2,7393.0395,0,8
0,9,2,8077.5867,3,5
0,9,2,8504.6128,2,8
0,9,2,8893.4681,0,7
0,9,2,9271.7965,2,7
0,9,2,9650.1249,0,7
0,9,2,10146.5485,1,2
0,9,2,10752.9238,0,4
0,9,2,11348.7004,0,2
0,9,2,11676.582,0,3
0,9,2,12338.0095,3,5
0,9,2,12831.1285,0,1
0,9,2,13607.0274,1,1
0,9,2,14151.9503,1,2
0,9,2,14595.8864,3,5
0,9,2,14984.7417,1,6
0,9,2,15447.5673,0,2
0,9,2,15797.7712,1,1
0,9,2,16176.0996,1,3
0,9,2,16589.8626,3,5
0,9,2,17056.9358,0,8
0,9,2,17519.7613,1,4
0,9,2,17908.6166,3,5
0,9,2,18335.6427,0,4
0,9,2,18724.498,1,6
0,9,2,19404.8404,0,2
0,9,2,19871.9136,3,5
