subject_id,sentence_n,trialtime,event
0,9,11348.7004,pressed key
0,9,11676.582,pressed key
0,9,12338.0095,pressed key
0,9,12831.1285,pressed key
0,9,13607.0274,pressed key
0,9,14151.9503,pressed key
0,9,14595.8864,pressed key
0,9,14984.7417,pressed key
0,9,15447.5673,pressed key
0,9,15797.7712,pressed key
0,9,16176.0996,pressed key
0,9,16589.8626,pressed key
0,9,17056.9358,pressed key
0,9,17519.7613,pressed key
0,9,17908.6166,pressed key
0,9,18335.6427,pressed key
0,9,18724.498,pressed key
0,9,19404.8404,pressed key
0,9,19871.9136,pressed key
0,9,20353.2024,pressed key
0,9,21096.2509,pressed key
0,9,21918.9509,pressed key
0,9,22246.8324,pressed key
0,9,22834.1384,pressed key
0,9,23292.5462,pressed key
0,9,23750.9541,pressed key
0,9,24279.1303,pressed key
0,9,24741.9558,pressed key
0,9,25120.2842,pressed key
0,9,25938.9075,pressed key
0,9,26352.6705,pressed key
0,9,26702.8744,pressed key
0,9,27259.1411,pressed key
0,9,28064.0379,pressed key
0,9,28452.8932,pressed key
0,9,28780.7747,pressed key
0,9,29473.3468,pressed key
0,9,30009.0574,pressed key
0,9,30514.9126,pressed key
0,9,30958.8488,pressed key
0,9,31479.0715,pressed key
0,10,496.4236,pressed key
0,10,1157.829,pressed key
0,10,1546.6843,pressed key
0,10,2009.5098,pressed key
0,10,2720.0652,pressed key
0,10,3542.9256,pressed key
0,10,3969.9517,pressed key
0,10,5079.3064,pressed key
0,10,5861.3557,pressed key
0,10,6614.6925,pressed key
0,10,7041.7186,pressed key
0,10,7726.3762,pressed key
0,10,8115.2315,pressed key
0,10,8950.836,pressed key
0,10,9417.9092,pressed key
0,10,9911.0282,pressed key
0,10,10467.2949,pressed key
0,10,11140.9624,pressed key
0,10,11491.1663,pressed key
0,10,12019.3425,pressed key
0,10,12408.1978,pressed key
0,10,12797.0531,pressed key
0,10,13290.1721,pressed key
0,10,14003.9719,pressed key
0,10,14466.7974,pressed key
0,10,15190.089,pressed key
0,10,15796.497,pressed key
0,10,16289.6161,pressed key
0,10,16834.934,pressed key
0,10,17315.8227,pressed key
0,10,17759.7589,pressed key
0,10,18647.8385,pressed key
0,10,19538.6625,pressed key
0,10,19866.544,pressed key
0,10,20194.4255,pressed key
0,10,20800.8526,pressed key
0,10,21042.8545,pressed key
0,10,21431.7098,pressed key
0,10,21959.886,pressed key
0,10,22426.9592,pressed key
0,10,22894.0324,pressed key
0,10,23282.8877,pressed key
0,10,24362.8367,pressed key
0,10,24969.2764,pressed key
0,10,25319.4803,pressed key
0,10,25777.8882,pressed key
0,10,26240.7137,pressed key
0,10,26619.0421,pressed key
0,10,27081.8676,pressed key
0,10,27574.9866,pressed key
0,11,443.9362,pressed key
0,11,771.8177,pressed key
0,11,1013.8195,pressed key
0,11,1698.4128,pressed key
0,11,2336.6062,pressed key
0,11,2974.7383,pressed key
0,11,3353.0667,pressed key
0,11,3780.0928,pressed key
0,11,4247.166,pressed key
0,11,4636.0213,pressed key
0,11,5024.8766,pressed key
0,11,5451.9027,pressed key
0,11,5834.7374,pressed key
0,11,6515.0321,pressed key
0,11,6982.1053,pressed key
0,11,7409.1314,pressed key
0,11,7797.9867,pressed key
0,11,8148.1907,pressed key
0,11,8606.5985,pressed key
0,11,9368.9905,pressed key
0,11,9904.7011,pressed key
0,12,606.3091,pressed key
0,12,1069.1346,pressed key
0,12,1536.2078,pressed key
0,12,1980.144,pressed key
0,12,2476.5676,pressed key
0,12,2920.5038,pressed key
0,12,3613.2064,pressed key
0,12,4002.0618,pressed key
0,12,4498.4854,pressed key
0,12,4887.3407,pressed key
0,12,5595.3022,pressed key
0,12,5923.1837,pressed key
0,12,6165.1856,pressed key
0,12,6975.1781,pressed key
0,12,7217.1799,pressed key
0,12,7459.1818,pressed key
