subject_id,sentence_n,trialtime,x,y
0,4,11003.7011,1,1
0,4,11479.0631,-6,5
0,4,11591.2425,-6,5
0,4,11808.5514,3,5
0,4,12194.7451,3,5
0,4,12634.1242,-5,3
0,4,12851.3019,0,7
0,4,13240.3811,-5,5
0,4,13457.5588,2,10
0,4,13884.5849,0,7
0,4,14328.1089,1,5
0,4,14717.6525,-5,4
0,4,14934.2909,3,5
0,4,15312.6193,1,5
0,4,15691.5537,1,1
0,4,16150.2272,2,8
0,4,16708.5764,0,2
0,4,17244.2543,-5,5
0,4,17461.3372,-6,2
0,4,17678.9071,3,10
0,5,217.5168,-5,4
